ferrari classic;365 gtb 4 daytona;113 026;1972;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_24413451_1.jpg;950 000;
ferrari classic;250 gte;153 360;1963;92;http://www.voiture-de-prestige.com/images/default.gif;490 000;
ferrari 430;scuderia ;38 285;2009;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_24399763_1.jpg;179 500;
ferrari 430;scuderia ;38 356;2008;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_24313712_1.jpg;199 500;
ferrari f430;coupe ;33 134;2007;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_23751130_1.jpg;99 500;
ferrari 458;italia challenge;4 748;2012;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_18955002_1.jpg;229 000;
ferrari 458;speciale ;17 922;2014;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_24150434_1.jpg;299 500;
ferrari 458;italia ;51 738;2012;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_24384294_1.jpg;159 900;
ferrari 488;gtb ;9 117;2016;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_23700115_1.jpg;269 000;
ferrari f355;gtb ;121 232;1997;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_23640559_1.jpg;90 000;
ferrari challenge;stradale ;57 356;2003;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_24313702_1.jpg;205 900;
ferrari 430;scuderia ;23 799;2008;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_24266378_1.jpg;210 500;
ferrari 458;spider ;36 272;2012;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_24026696_1.jpg;197 500;
﻿ferrari ff;11 731;2011;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_24379912_1.jpg;195 500;
ferrari 348;tb europa;6 847;1992;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_24373108_1.jpg;89 500;
ferrari f12berlinetta;7 210;2016;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_24250356_1.jpg;284 900;
ferrari ff;24 488;2013;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_23211825_1.jpg;189 500;
ferrari 458;spider ;42 391;2017;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_24413334_1.jpg;198 500;
ferrari classic;328 gts  ps;23 754;1988;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_23640541_1.jpg;140 000;
